id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,bldgtype,landslope,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,masvnrtype,masvnrarea,exterqual,extercond,foundation,mosold,yrsold,saletype,salecondition,saleprice,lotshape_r,lotshape_desc,landcontour_r,landcontour_desc,bldgtype_r,bldgtype_desc,landslope_r,landslope_desc,housestyle_r,housestyle_desc,roofstyle_r,roofstyle_desc,roofmatl_r,roofmatl_desc,exterior1st_r,exterior1st_desc,masvnrtype_r,masvnrtype_desc,exterqual_r,exterqual_desc,extercond_r,extercond_desc,foundation_r,foundation_desc,saletype_r,saletype_desc,salecondition_r,salecondition_desc,monthyear
389,20,RL,93.0,9382,IR1,Lvl,1Fam,Gtl,1Story,7,5,1999,2000,Gable,CompShg,VinylSd,BrkFace,125.0,Gd,TA,PConc,7,2008,WD,Normal,191000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
390,60,RL,96.0,12474,Reg,Lvl,1Fam,Gtl,2Story,10,5,2007,2008,Gable,CompShg,VinylSd,Stone,272.0,Ex,TA,PConc,8,2008,New,Partial,426000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,2.0,Excellent,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2008-08-01
391,50,RL,50.0,8405,Reg,Lvl,1Fam,Gtl,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,4,2008,WD,Normal,119000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2008-04-01
392,60,RL,71.0,12209,IR1,Lvl,1Fam,Gtl,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,6,2009,WD,Normal,215000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-06-01
393,20,RL,,8339,IR1,Lvl,1Fam,Gtl,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,None,0.0,TA,TA,Slab,7,2007,WD,Normal,106500,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,3,Slab,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
394,30,RL,,7446,Reg,Lvl,1Fam,Gtl,1Story,4,5,1941,1950,Gable,CompShg,WdShing,None,0.0,TA,TA,CBlock,4,2006,WD,Abnorml,100000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Shingles,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2006-04-01
395,50,RL,60.0,10134,Reg,Lvl,1Fam,Gtl,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,None,0.0,TA,TA,CBlock,7,2007,WD,Normal,109000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
396,20,RL,68.0,9571,Reg,Lvl,1Fam,Gtl,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,CBlock,6,2010,WD,Normal,129000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-06-01
397,20,RL,60.0,7200,Reg,Low,1Fam,Gtl,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,None,0.0,TA,TA,CBlock,9,2009,WD,Normal,123000,0,Regular,2,Depression,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-09-01
398,60,RL,69.0,7590,Reg,Lvl,1Fam,Gtl,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,BrkFace,288.0,TA,TA,CBlock,7,2007,WD,Normal,169500,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-07-01
399,30,RM,60.0,8967,Reg,Lvl,1Fam,Gtl,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,None,0.0,TA,Fa,BrkTil,11,2007,WD,Abnorml,67000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,,,0,Brick & Tile,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2007-11-01
400,60,FV,65.0,8125,Reg,Lvl,1Fam,Gtl,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,Stone,100.0,Gd,TA,PConc,10,2009,WD,Normal,241000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Cement Board,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-10-01
401,120,RL,38.0,14963,IR2,Lvl,TwnhsE,Gtl,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,None,0.0,Gd,TA,PConc,12,2008,WD,Normal,245500,2,Moderately Irregular,0,Near Flat/Level,3,Townhouse End Unit,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,3,Brick Face,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-12-01
402,20,RL,65.0,8767,IR1,Lvl,1Fam,Gtl,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,7,2006,New,Partial,164990,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2006-07-01
403,30,RL,60.0,10200,Reg,Lvl,1Fam,Gtl,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,8,2008,WD,Normal,108000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-08-01
404,60,RL,93.0,12090,Reg,Lvl,1Fam,Gtl,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,BrkFace,650.0,Gd,TA,PConc,7,2006,WD,Abnorml,258000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,3,Hip,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,1,"Abnormal Sale -  trade, foreclosure, short sale",2006-07-01
405,60,RL,,10364,IR1,Lvl,1Fam,Gtl,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,None,0.0,TA,TA,PConc,5,2007,WD,Normal,168000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-05-01
406,20,RL,,9991,IR1,Lvl,1Fam,Gtl,1Story,4,4,1976,1993,Gable,CompShg,Plywood,None,0.0,TA,TA,CBlock,6,2009,WD,Normal,150000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Plywood,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-06-01
407,50,RL,51.0,10480,Reg,Lvl,1Fam,Gtl,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,3,2008,WD,Normal,115000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2008-03-01
408,70,RL,63.0,15576,Reg,Lvl,1Fam,Gtl,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,BrkTil,3,2008,WD,Normal,177000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2008-03-01
409,60,RL,109.0,14154,Reg,Lvl,1Fam,Gtl,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,BrkFace,350.0,Gd,TA,PConc,8,2007,New,Partial,280000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2007-08-01
410,60,FV,85.0,10800,Reg,Lvl,1Fam,Gtl,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,Stone,100.0,Gd,TA,PConc,4,2008,New,Partial,339750,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2008-04-01
411,20,RL,68.0,9571,Reg,Lvl,1Fam,Gtl,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,None,0.0,TA,Fa,CBlock,6,2009,COD,Abnorml,60000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,2,Brick Common,3.0,None,0.0,Average,,,1,Cinder Block,4,Court Officer Deed/Estate,1,"Abnormal Sale -  trade, foreclosure, short sale",2009-06-01
412,190,RL,100.0,34650,Reg,Bnk,2fmCon,Gtl,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,None,0.0,TA,TA,CBlock,1,2006,WD,Normal,145000,0,Regular,1,anked - Quick and significant rise from street grade to building,1,Two-family Conversion,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2006-01-01
413,20,FV,,4403,IR2,Lvl,1Fam,Gtl,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,Stone,432.0,Ex,TA,PConc,6,2010,New,Partial,222000,2,Moderately Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,4.0,Stone,2.0,Excellent,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2010-06-01
414,30,RM,56.0,8960,Reg,Lvl,1Fam,Gtl,1Story,5,6,1927,1950,Gable,CompShg,WdShing,None,0.0,TA,TA,CBlock,3,2010,WD,Normal,115000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Shingles,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-03-01
415,60,RL,59.0,11228,IR2,Lvl,1Fam,Gtl,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,12,2008,WD,Normal,228000,2,Moderately Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-12-01
416,20,RL,73.0,8899,IR1,Lvl,1Fam,Gtl,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,8,2007,New,Partial,181134,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2007-08-01
417,60,RL,74.0,7844,Reg,Lvl,1Fam,Gtl,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,BrkFace,203.0,TA,TA,CBlock,3,2006,WD,Normal,149500,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,3,Hip,1,Standard (Composite) Shingle,5,Hard Board,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2006-03-01
418,70,RL,86.0,22420,IR1,Lvl,1Fam,Gtl,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,None,0.0,TA,TA,BrkTil,11,2007,WD,Normal,239000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,3,Hip,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2007-11-01
419,50,RL,60.0,8160,Reg,Lvl,1Fam,Gtl,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,4,2007,WD,AdjLand,126000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,2,Adjoining Land Purchase,2007-04-01
420,20,RL,65.0,8450,Reg,Lvl,1Fam,Gtl,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,None,0.0,TA,TA,CBlock,7,2010,WD,Normal,142000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2010-07-01
421,90,RM,78.0,7060,Reg,Lvl,Duplex,Gtl,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,BrkFace,200.0,TA,Gd,PConc,11,2008,WD,Alloca,206300,0,Regular,0,Near Flat/Level,2,Duplex,0,Gentle slope,7,Split Foyer,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,0.0,Average,1.0,Good,2,Poured Contrete,0,Warranty Deed - Conventional,3,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",2008-11-01
422,20,RL,,16635,IR1,Lvl,1Fam,Gtl,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,Stone,126.0,Gd,TA,CBlock,6,2009,WD,Normal,215000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Cement Board,4.0,Stone,1.0,Good,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-06-01
423,20,RL,100.0,21750,Reg,HLS,1Fam,Mod,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,None,0.0,TA,TA,CBlock,2,2008,WD,Normal,113000,0,Regular,3,Hillside - Significant slope from side to side,0,Single-family Detached,1,Moderate Slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-02-01
424,60,RL,80.0,9200,Reg,Lvl,1Fam,Gtl,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,BrkFace,473.0,Gd,TA,PConc,6,2008,WD,Normal,315000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-06-01
425,20,RL,72.0,9000,Reg,Lvl,1Fam,Gtl,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,BrkFace,74.0,TA,TA,CBlock,5,2008,WD,Normal,139000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-05-01
426,60,RM,60.0,3378,Reg,HLS,1Fam,Gtl,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,None,0.0,TA,Gd,CBlock,9,2009,WD,Normal,135000,0,Regular,3,Hillside - Significant slope from side to side,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,1.0,Good,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-09-01
427,80,RL,,12800,Reg,Low,1Fam,Mod,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,8,2009,WD,Normal,275000,0,Regular,2,Depression,0,Single-family Detached,1,Moderate Slope,8,Split Level,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-08-01
428,20,RL,77.0,8593,IR1,Lvl,1Fam,Gtl,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,None,0.0,TA,TA,CBlock,7,2008,WD,Normal,109008,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
429,20,RL,64.0,6762,Reg,Lvl,1Fam,Gtl,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,BrkFace,108.0,Gd,TA,PConc,9,2007,New,Partial,195400,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2007-09-01
430,20,RL,130.0,11457,IR1,Lvl,1Fam,Gtl,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,None,0.0,TA,TA,CBlock,3,2009,WD,Normal,175000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,3.0,None,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2009-03-01
431,160,RM,21.0,1680,Reg,Lvl,Twnhs,Gtl,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,232.0,TA,TA,CBlock,7,2008,COD,Abnorml,85400,0,Regular,0,Near Flat/Level,4,ownhouse Inside Unit,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,4,Court Officer Deed/Estate,1,"Abnormal Sale -  trade, foreclosure, short sale",2008-07-01
432,50,RM,60.0,5586,IR1,Bnk,1Fam,Gtl,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,9,2008,ConLD,Abnorml,79900,1,Slightly Irregular,1,anked - Quick and significant rise from street grade to building,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,8,Contract Low Down,1,"Abnormal Sale -  trade, foreclosure, short sale",2008-09-01
433,160,RM,24.0,1920,Reg,Lvl,TwnhsE,Gtl,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,376.0,TA,TA,CBlock,8,2007,WD,Normal,122500,0,Regular,0,Near Flat/Level,3,Townhouse End Unit,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Hard Board,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2007-08-01
434,60,RL,100.0,10839,IR1,Lvl,1Fam,Gtl,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,None,0.0,TA,TA,PConc,7,2008,WD,Normal,181000,1,Slightly Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
435,180,RM,21.0,1890,Reg,Lvl,Twnhs,Gtl,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,None,0.0,TA,Gd,CBlock,6,2008,WD,Normal,81000,0,Regular,0,Near Flat/Level,4,ownhouse Inside Unit,0,Gentle slope,7,Split Foyer,1,Gable,1,Standard (Composite) Shingle,5,Cement Board,3.0,None,0.0,Average,1.0,Good,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-06-01
436,60,RL,43.0,10667,IR2,Lvl,1Fam,Gtl,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,4,2009,ConLw,Normal,212000,2,Moderately Irregular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,6,Contract Low Down payment and low interest,0,Normal Sale,2009-04-01
437,50,RM,40.0,4400,Reg,Lvl,1Fam,Gtl,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,None,0.0,TA,TA,BrkTil,10,2006,WD,Normal,116000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Stucco,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,0,Warranty Deed - Conventional,0,Normal Sale,2006-10-01
438,45,RM,50.0,6000,Reg,Lvl,1Fam,Gtl,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,None,0.0,Gd,TA,PConc,1,2009,WD,Normal,119000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,2,One and one-half story: 2nd level unfinished,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,1.0,Good,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-01-01
439,30,RL,40.0,4280,Reg,Lvl,1Fam,Gtl,1Story,5,6,1913,2002,Gable,CompShg,WdShing,None,0.0,TA,TA,PConc,3,2007,WD,Normal,90350,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Shingles,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2007-03-01
440,50,RL,67.0,12354,Reg,Lvl,1Fam,Gtl,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,BrkTil,8,2009,ConLI,Normal,110000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Wood Siding,3.0,None,0.0,Average,0.0,Average,0,Brick & Tile,7,Contract Low Interest,0,Normal Sale,2009-08-01
441,20,RL,105.0,15431,Reg,Lvl,1Fam,Gtl,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,Stone,200.0,Ex,TA,PConc,4,2009,WD,Normal,555000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,0,One story,3,Hip,1,Standard (Composite) Shingle,5,Vinyl Siding,4.0,Stone,2.0,Excellent,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2009-04-01
442,90,RL,92.0,12108,Reg,Lvl,Duplex,Gtl,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,BrkFace,270.0,TA,TA,CBlock,9,2008,WD,Normal,118000,0,Regular,0,Near Flat/Level,2,Duplex,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,1.0,Brick Face,0.0,Average,0.0,Average,1,Cinder Block,0,Warranty Deed - Conventional,0,Normal Sale,2008-09-01
443,50,RM,52.0,6240,Reg,Lvl,1Fam,Gtl,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,None,0.0,TA,TA,PConc,6,2008,WD,Normal,162900,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,1,One and one-half story: 2nd level finished,1,Gable,1,Standard (Composite) Shingle,5,Metal Siding,3.0,None,0.0,Average,0.0,Average,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-06-01
444,120,RL,53.0,3922,Reg,Lvl,TwnhsE,Gtl,1Story,7,5,2006,2007,Gable,CompShg,WdShing,BrkFace,72.0,Gd,TA,PConc,6,2007,New,Partial,172500,0,Regular,0,Near Flat/Level,3,Townhouse End Unit,0,Gentle slope,0,One story,1,Gable,1,Standard (Composite) Shingle,5,Wood Shingles,1.0,Brick Face,1.0,Good,0.0,Average,2,Poured Contrete,3,Home just constructed and sold,5,Home was not completed when last assessed (associated with New Homes),2007-06-01
445,60,RL,70.0,8750,Reg,Lvl,1Fam,Gtl,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,None,0.0,Gd,Gd,PConc,7,2008,WD,Normal,210000,0,Regular,0,Near Flat/Level,0,Single-family Detached,0,Gentle slope,3,Two Storey,1,Gable,1,Standard (Composite) Shingle,5,Vinyl Siding,3.0,None,1.0,Good,1.0,Good,2,Poured Contrete,0,Warranty Deed - Conventional,0,Normal Sale,2008-07-01
